IP	端口	title
1.202.139.92	80	北京儿童医院集团远程会诊平台
101.132.74.59	8000	术木医疗云 - 404 - Page Not Found
101.132.74.59	9000	术木医疗云 - 404 - Page Not Found
101.132.74.59	4000	术木医疗云 - 404 - Page Not Found
101.132.74.59	9001	术木医疗云 - 404 - Page Not Found
101.132.74.59	10000	术木医疗云 - 404 - Page Not Found
101.132.88.199	80	术木医疗云 - 404 - Page Not Found
101.200.122.109	80	海纳超声远程会诊系统
101.200.176.77	80	云中医
101.200.176.77	443	云中医
101.200.230.121	80	云平台登录  明康医疗官网 - 斯百瑞呼吸机
101.201.104.221	80	云医视讯
101.201.151.134	80	云诊室后台管理系统
101.201.196.90	8080	云诊所—专业面向诊所、门诊部等医疗机构的部署在云端的医疗服务管理软件
101.201.211.51	80	云诊所—专业面向诊所、门诊部等医疗机构的部署在云端的医疗服务管理软件
101.201.212.23	80	云诊所—专业面向诊所、门诊部等医疗机构的部署在云端的医疗服务管理软件
101.201.76.192	80	解放军三〇二医院     远程会诊管理系统
101.230.192.84	80	医药云
101.230.192.84	443	医药云
101.251.68.141	8088	锦云医疗
101.37.12.117	80	医真云 - 互联网精准诊治医疗影像云平台
101.37.17.34	80	医博云科技
101.37.223.224	80	牙医维小美医疗云
101.37.36.108	80	医真云 - 互联网精准诊治医疗影像云平台
101.37.72.209	443	安链云-聚焦金融和健康医疗的企业级云服务
101.37.72.228	443	安链云-聚焦金融和健康医疗的企业级云服务
101.68.67.228	80	存济医疗云-医院信息化互联网平台
101.71.2.95	85	医网影像云
101.78.1.213	8002	全网影像云
101.89.66.240	8001	民康诊所云1.0
101.89.66.240	80	民康诊所云1.0
103.10.86.55	80	远程医疗系统登录
103.235.254.218	8080	云诊断平台 - 设备医院
103.235.254.219	8080	云诊断平台 - 设备医院
103.31.53.199	80	快医 - 云随访系统
103.72.147.197	80	医患云桥科研平台
106.120.203.79	80	阜外医院远程会诊平台
106.14.136.86	80	眼康云诊
106.14.136.86	443	眼康云诊
106.14.136.86	443	眼康云诊
106.14.180.142	443	祉云中医
106.14.27.19	80	云医管-医院后勤管理云平台
106.14.64.169	9999	国家老年疾病临床医学研究中心 - 临床研究云平台
106.15.129.61	80	眼康云诊
106.15.131.143	80	术木医疗云 - 404 - Page Not Found
106.15.156.133	443	术木医疗云 - 404 - Page Not Found
106.15.156.133	80	术木医疗云 - 404 - Page Not Found
